행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상,,,,,,,,,
경기도 경기도 고양시 덕양구 (4128100000),496438 ,496438 ,35940 ,41413 ,58770 ,72872 ,78922 ,85915 ,69326 ,32390 ,18179 ,2651 ,60 ,244063 ,244063 ,18291 ,21035 ,29781 ,36578 ,39848 ,42321 ,34481 ,14408 ,6658 ,645 ,17 ,252375 ,252375 ,17649 ,20378 ,28989 ,36294 ,39074 ,43594 ,34845 ,17982 ,11521 ,2006 ,43 ,,,,,,,,,
경기도 경기도 고양시 일산동구 (4128500000),291597 ,291597 ,17060 ,27372 ,38797 ,37031 ,45369 ,56352 ,40944 ,16531 ,10278 ,1813 ,50 ,141346 ,141346 ,8725 ,13970 ,19379 ,18326 ,21666 ,27039 ,20627 ,7433 ,3667 ,498 ,16 ,150251 ,150251 ,8335 ,13402 ,19418 ,18705 ,23703 ,29313 ,20317 ,9098 ,6611 ,1315 ,34 ,,,,,,,,,
경기도 경기도 고양시 일산서구 (4128700000),286872 ,286872 ,17336 ,30162 ,36839 ,33688 ,44292 ,56472 ,39146 ,16318 ,10893 ,1685 ,41 ,138959 ,138959 ,8809 ,15337 ,18948 ,16848 ,20873 ,26956 ,19656 ,7101 ,3933 ,490 ,8 ,147913 ,147913 ,8527 ,14825 ,17891 ,16840 ,23419 ,29516 ,19490 ,9217 ,6960 ,1195 ,33 ,,,,,,,,,
경기도 경기도 과천시 (4129000000),81000 ,81000 ,7995 ,7890 ,9503 ,12022 ,12474 ,13229 ,10600 ,4448 ,2385 ,445 ,9 ,39687 ,39687 ,4108 ,4013 ,4873 ,5886 ,6097 ,6354 ,5238 ,2073 ,920 ,122 ,3 ,41313 ,41313 ,3887 ,3877 ,4630 ,6136 ,6377 ,6875 ,5362 ,2375 ,1465 ,323 ,6 ,,,,,,,,,
경기도 경기도 구리시 (4131000000),187093 ,187093 ,11817 ,16744 ,23177 ,23913 ,29694 ,34526 ,28040 ,12506 ,5899 ,754 ,23 ,92559 ,92559 ,6058 ,8671 ,11768 ,12191 ,14939 ,16798 ,13977 ,5706 ,2243 ,201 ,7 ,94534 ,94534 ,5759 ,8073 ,11409 ,11722 ,14755 ,17728 ,14063 ,6800 ,3656 ,553 ,16 ,,,,,,,,,
경기도 경기도 남양주시 (4136000000),732265 ,732265 ,54337 ,79299 ,81665 ,85052 ,128329 ,127403 ,98255 ,50512 ,24017 ,3269 ,127 ,363190 ,363190 ,27914 ,40687 ,42285 ,42494 ,63627 ,64631 ,48239 ,23129 ,9385 ,775 ,24 ,369075 ,369075 ,26423 ,38612 ,39380 ,42558 ,64702 ,62772 ,50016 ,27383 ,14632 ,2494 ,103 ,,,,,,,,,
경기도 경기도 오산시 (4137000000),229656 ,229656 ,18139 ,25482 ,28851 ,34992 ,44413 ,36503 ,24599 ,10845 ,5154 ,668 ,10 ,119722 ,119722 ,9233 ,13097 ,15779 ,19395 ,23834 ,19141 ,12288 ,4883 ,1924 ,147 ,1 ,109934 ,109934 ,8906 ,12385 ,13072 ,15597 ,20579 ,17362 ,12311 ,5962 ,3230 ,521 ,9 ,,,,,,,,,
경기도 경기도 시흥시 (4139000000),519715 ,519715 ,43910 ,51516 ,64220 ,76407 ,93191 ,92668 ,62438 ,22604 ,11021 ,1689 ,51 ,271236 ,271236 ,22289 ,26337 ,34949 ,41133 ,50303 ,48260 ,33168 ,10666 ,3772 ,353 ,6 ,248479 ,248479 ,21621 ,25179 ,29271 ,35274 ,42888 ,44408 ,29270 ,11938 ,7249 ,1336 ,45 ,,,,,,,,,
경기도 경기도 군포시 (4141000000),261229 ,261229 ,15408 ,23938 ,33421 ,35657 ,39333 ,47043 ,39626 ,16489 ,8776 ,1492 ,46 ,129573 ,129573 ,7927 ,12357 ,17471 ,18894 ,19488 ,22974 ,19209 ,7640 ,3217 ,385 ,11 ,131656 ,131656 ,7481 ,11581 ,15950 ,16763 ,19845 ,24069 ,20417 ,8849 ,5559 ,1107 ,35 ,,,,,,,,,
경기도 경기도 의왕시 (4143000000),158870 ,158870 ,11620 ,13402 ,19759 ,22979 ,22715 ,27898 ,24751 ,10072 ,4803 ,844 ,27 ,78829 ,78829 ,6023 ,6881 ,10373 ,11795 ,11482 ,13311 ,12091 ,4885 ,1792 ,192 ,4 ,80041 ,80041 ,5597 ,6521 ,9386 ,11184 ,11233 ,14587 ,12660 ,5187 ,3011 ,652 ,23 ,,,,,,,,,
경기도 경기도 하남시 (4145000000),329861 ,329861 ,30685 ,31773 ,35977 ,51573 ,61110 ,48250 ,41700 ,20089 ,7495 ,1166 ,43 ,164202 ,164202 ,15744 ,16025 ,17889 ,25533 ,31390 ,24445 ,20080 ,9906 ,2948 ,236 ,6 ,165659 ,165659 ,14941 ,15748 ,18088 ,26040 ,29720 ,23805 ,21620 ,10183 ,4547 ,930 ,37 ,,,,,,,,,
경기도 경기도 용인시 (4146000000),1075566 ,1075566 ,81223 ,120355 ,132631 ,133020 ,190127 ,183137 ,123235 ,70868 ,35730 ,5102 ,138 ,533387 ,533387 ,41477 ,61540 ,69357 ,66991 ,93478 ,91912 ,60368 ,31526 ,15262 ,1446 ,30 ,542179 ,542179 ,39746 ,58815 ,63274 ,66029 ,96649 ,91225 ,62867 ,39342 ,20468 ,3656 ,108 ,,,,,,,,,
경기도 경기도 용인시 처인구 (4146100000),261488 ,261488 ,17293 ,24728 ,32807 ,32165 ,42678 ,45901 ,37545 ,18145 ,8809 ,1384 ,33 ,134289 ,134289 ,8866 ,12801 ,17984 ,17462 ,22364 ,23635 ,19039 ,8516 ,3297 ,321 ,4 ,127199 ,127199 ,8427 ,11927 ,14823 ,14703 ,20314 ,22266 ,18506 ,9629 ,5512 ,1063 ,29 ,,,,,,,,,
경기도 경기도 용인시 기흥구 (4146300000),436656 ,436656 ,32651 ,50015 ,55201 ,52410 ,77672 ,75559 ,47834 ,28453 ,14669 ,2122 ,70 ,215218 ,215218 ,16723 ,25548 ,28793 ,26320 ,37734 ,37649 ,23052 ,12423 ,6325 ,634 ,17 ,221438 ,221438 ,15928 ,24467 ,26408 ,26090 ,39938 ,37910 ,24782 ,16030 ,8344 ,1488 ,53 ,,,,,,,,,
경기도 경기도 용인시 수지구 (4146500000),377422 ,377422 ,31279 ,45612 ,44623 ,48445 ,69777 ,61677 ,37856 ,24270 ,12252 ,1596 ,35 ,183880 ,183880 ,15888 ,23191 ,22580 ,23209 ,33380 ,30628 ,18277 ,10587 ,5640 ,491 ,9 ,193542 ,193542 ,15391 ,22421 ,22043 ,25236 ,36397 ,31049 ,19579 ,13683 ,6612 ,1105 ,26 ,,,,,,,,,
경기도 경기도 파주시 (4148000000),497753 ,497753 ,40067 ,51856 ,56512 ,69216 ,84109 ,82770 ,61802 ,31019 ,17725 ,2606 ,71 ,252159 ,252159 ,20516 ,26318 ,30671 ,36066 ,43298 ,42926 ,31116 ,13957 ,6615 ,658 ,18 ,245594 ,245594 ,19551 ,25538 ,25841 ,33150 ,40811 ,39844 ,30686 ,17062 ,11110 ,1948 ,53 ,,,,,,,,,
경기도 경기도 이천시 (4150000000),222098 ,222098 ,15505 ,21877 ,28876 ,30294 ,34510 ,36450 ,31178 ,14526 ,7729 ,1123 ,30 ,115622 ,115622 ,8015 ,11262 ,16521 ,16675 ,18041 ,18964 ,16040 ,6921 ,2876 ,299 ,8 ,106476 ,106476 ,7490 ,10615 ,12355 ,13619 ,16469 ,17486 ,15138 ,7605 ,4853 ,824 ,22 ,,,,,,,,,
경기도 경기도 안성시 (4155000000),189034 ,189034 ,11213 ,17415 ,22134 ,21541 ,29265 ,32821 ,29709 ,15166 ,8422 ,1311 ,37 ,97738 ,97738 ,5813 ,9024 ,12195 ,11962 ,15677 ,17419 ,15118 ,7202 ,3020 ,303 ,5 ,91296 ,91296 ,5400 ,8391 ,9939 ,9579 ,13588 ,15402 ,14591 ,7964 ,5402 ,1008 ,32 ,,,,,,,,,
경기도 경기도 김포시 (4157000000),486172 ,486172 ,45831 ,53091 ,49355 ,66699 ,94373 ,72951 ,58601 ,29836 ,13436 ,1945 ,54 ,242801 ,242801 ,23523 ,26948 ,25404 ,32744 ,48303 ,37274 ,28866 ,13984 ,5279 ,460 ,16 ,243371 ,243371 ,22308 ,26143 ,23951 ,33955 ,46070 ,35677 ,29735 ,15852 ,8157 ,1485 ,38 ,,,,,,,,,
경기도 경기도 화성시 (4159000000),944342 ,944342 ,95153 ,110022 ,110981 ,155558 ,183476 ,138446 ,91282 ,38675 ,17892 ,2777 ,80 ,490518 ,490518 ,48649 ,55946 ,60088 ,82233 ,96641 ,74052 ,47177 ,18443 ,6678 ,597 ,14 ,453824 ,453824 ,46504 ,54076 ,50893 ,73325 ,86835 ,64394 ,44105 ,20232 ,11214 ,2180 ,66 ,,,,,,,,,
경기도 경기도 광주시 (4161000000),391377 ,391377 ,29868 ,35005 ,41450 ,52357 ,68498 ,68090 ,57445 ,26102 ,11014 ,1491 ,57 ,199601 ,199601 ,15318 ,17883 ,22049 ,27357 ,36057 ,34842 ,28667 ,12685 ,4403 ,327 ,13 ,191776 ,191776 ,14550 ,17122 ,19401 ,25000 ,32441 ,33248 ,28778 ,13417 ,6611 ,1164 ,44 ,,,,,,,,,
경기도 경기도 양주시 (4163000000),268026 ,268026 ,21638 ,26848 ,29681 ,34043 ,43977 ,45437 ,36854 ,18725 ,9410 ,1359 ,54 ,135376 ,135376 ,11013 ,13648 ,15761 ,17589 ,22551 ,23539 ,18569 ,8766 ,3612 ,312 ,16 ,132650 ,132650 ,10625 ,13200 ,13920 ,16454 ,21426 ,21898 ,18285 ,9959 ,5798 ,1047 ,38 ,,,,,,,,,
경기도 경기도 포천시 (4165000000),143323 ,143323 ,6646 ,10499 ,16074 ,13767 ,17319 ,27974 ,29240 ,13085 ,7552 ,1129 ,38 ,75837 ,75837 ,3464 ,5514 ,9147 ,7796 ,9329 ,15234 ,15963 ,6401 ,2709 ,269 ,11 ,67486 ,67486 ,3182 ,4985 ,6927 ,5971 ,7990 ,12740 ,13277 ,6684 ,4843 ,860 ,27 ,,,,,,,,,
경기도 경기도 여주시 (4167000000),114412 ,114412 ,6231 ,9285 ,11209 ,11324 ,15462 ,20384 ,21741 ,11477 ,6272 ,994 ,33 ,58177 ,58177 ,3186 ,4866 ,6086 ,6069 ,7901 ,10657 ,11131 ,5629 ,2422 ,226 ,4 ,56235 ,56235 ,3045 ,4419 ,5123 ,5255 ,7561 ,9727 ,10610 ,5848 ,3850 ,768 ,29 ,,,,,,,,,
경기도 경기도 연천군 (4180000000),41584 ,41584 ,2071 ,2832 ,4498 ,3976 ,4342 ,6579 ,8632 ,4942 ,3240 ,459 ,13 ,21776 ,21776 ,1054 ,1474 ,2849 ,2345 ,2338 ,3557 ,4525 ,2343 ,1157 ,130 ,4 ,19808 ,19808 ,1017 ,1358 ,1649 ,1631 ,2004 ,3022 ,4107 ,2599 ,2083 ,329 ,9 ,,,,,,,,,
경기도 경기도 가평군 (4182000000),62302 ,62302 ,2763 ,4349 ,5700 ,5437 ,7459 ,10845 ,13605 ,7427 ,4091 ,607 ,19 ,32137 ,32137 ,1409 ,2213 ,3292 ,3006 ,3971 ,5778 ,7043 ,3634 ,1616 ,169 ,6 ,30165 ,30165 ,1354 ,2136 ,2408 ,2431 ,3488 ,5067 ,6562 ,3793 ,2475 ,438 ,13 ,,,,,,,,,
경기도 경기도 양평군 (4183000000),125238 ,125238 ,6482 ,9996 ,9822 ,10549 ,16122 ,21442 ,26918 ,15047 ,7635 ,1194 ,31 ,62801 ,62801 ,3328 ,5232 ,5410 ,5474 ,8075 ,10890 ,13514 ,7494 ,3103 ,277 ,4 ,62437 ,62437 ,3154 ,4764 ,4412 ,5075 ,8047 ,10552 ,13404 ,7553 ,4532 ,917 ,27 ,,,,,,,,,
