"행정구역별",2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2,2023.1/2
"행정구역별",15세이상인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),실업자(RSE),비경제활동인구 (천명),경제활동참가율 (％),고용률 (%),15~64세 고용률 (%),실업률 (％),실업률(RSE)
"창원시",875,540,522,18,-,335,61.7,59.7,66.6,3.3,-
"의령군",23,16,16,0,*,6,71.8,71.4,75.5,0.6,*
"함안군",55,35,34,1,-,20,64.3,62.9,69.9,2.2,-
"창녕군",52,35,34,0,*,18,66.3,65.9,73.2,0.6,*
"고성군",45,30,30,0,*,15,67.2,66.2,69.9,1.4,*
"남해군",37,28,27,0,*,10,74.1,73.4,77.3,1.0,*
"하동군",35,26,26,0,*,9,74.8,74.2,79.9,0.8,*
"산청군",30,23,23,0,*,7,75.7,74.7,77.9,1.3,*
"함양군",33,23,23,0,*,9,71.8,71.4,77.4,0.6,*
"거창군",53,36,36,1,*,16,68.8,67.6,68.6,1.8,*
"합천군",36,26,25,0,*,11,70.8,70.1,79.0,1.0,*
"제주시",424,293,286,7,-,132,69.0,67.4,72.5,2.3,-
"서귀포시",154,113,111,2,*,42,73.0,72.0,76.4,1.5,*
