,진료년도,상별구분,시도,시군구,성별,0~19,20~59,60~
206,2018,우울증,경기,고양일산동구,남,194.0,1589.0,693.0
207,2018,우울증,경기,고양일산동구,여,393.0,3214.0,1920.0
208,2018,우울증,경기,용인기흥구,남,114.0,987.0,435.0
209,2018,우울증,경기,용인기흥구,여,213.0,1758.0,953.0
210,2018,우울증,경기,용인수지구,남,107.0,803.0,274.0
211,2018,우울증,경기,용인수지구,여,215.0,1637.0,622.0
212,2018,우울증,경기,용인처인구,남,31.0,511.0,271.0
213,2018,우울증,경기,용인처인구,여,60.0,873.0,544.0
214,2018,우울증,경기,이천시,남,83.0,760.0,426.0
215,2018,우울증,경기,이천시,여,107.0,1453.0,1259.0
216,2018,우울증,경기,파주시,남,42.0,519.0,295.0
217,2018,우울증,경기,파주시,여,143.0,1133.0,802.0
218,2018,우울증,경기,김포시,남,23.0,438.0,305.0
219,2018,우울증,경기,김포시,여,74.0,902.0,650.0
220,2018,우울증,경기,안성시,남,12.0,136.0,130.0
221,2018,우울증,경기,안성시,여,46.0,275.0,330.0
222,2018,우울증,경기,화성시,남,97.0,821.0,245.0
223,2018,우울증,경기,화성시,여,191.0,1644.0,653.0
224,2018,우울증,경기,광주시,남,72.0,681.0,431.0
225,2018,우울증,경기,광주시,여,122.0,1223.0,890.0
226,2018,우울증,경기,양주시,남,15.0,166.0,130.0
227,2018,우울증,경기,양주시,여,27.0,292.0,198.0
228,2018,우울증,경기,포천시,남,0.0,102.0,69.0
229,2018,우울증,경기,포천시,여,14.0,188.0,168.0
230,2018,우울증,경기,여주시,남,29.0,358.0,206.0
231,2018,우울증,경기,여주시,여,59.0,626.0,505.0
232,2018,우울증,강원,고성군,남,0.0,0.0,0.0
233,2018,우울증,강원,고성군,여,0.0,0.0,0.0
234,2018,우울증,강원,양구군,남,0.0,0.0,0.0
235,2018,우울증,강원,양구군,여,0.0,10.0,20.0
236,2018,우울증,강원,양양군,남,0.0,0.0,0.0
237,2018,우울증,강원,양양군,여,0.0,0.0,25.0
238,2018,우울증,강원,영월군,남,0.0,0.0,52.0
239,2018,우울증,강원,영월군,여,0.0,38.0,168.0
240,2018,우울증,강원,인제군,남,0.0,0.0,0.0
241,2018,우울증,강원,인제군,여,0.0,11.0,12.0
242,2018,우울증,강원,정선군,남,0.0,0.0,0.0
243,2018,우울증,강원,정선군,여,0.0,0.0,19.0
244,2018,우울증,강원,철원군,남,0.0,0.0,0.0
245,2018,우울증,강원,철원군,여,0.0,0.0,17.0
246,2018,우울증,강원,평창군,남,0.0,0.0,53.0
247,2018,우울증,강원,평창군,여,0.0,15.0,93.0
248,2018,우울증,강원,홍천군,남,13.0,228.0,192.0
249,2018,우울증,강원,홍천군,여,13.0,359.0,580.0
250,2018,우울증,강원,화천군,남,0.0,0.0,0.0
251,2018,우울증,강원,화천군,여,0.0,0.0,33.0
252,2018,우울증,강원,횡성군,남,0.0,0.0,22.0
253,2018,우울증,강원,횡성군,여,0.0,16.0,63.0
254,2018,우울증,강원,강릉시,남,79.0,750.0,611.0
255,2018,우울증,강원,강릉시,여,139.0,1279.0,1502.0
256,2018,우울증,강원,동해시,남,11.0,218.0,263.0
257,2018,우울증,강원,동해시,여,14.0,336.0,495.0
258,2018,우울증,강원,속초시,남,0.0,289.0,239.0
259,2018,우울증,강원,속초시,여,20.0,434.0,477.0
260,2018,우울증,강원,원주시,남,210.0,1659.0,1023.0
261,2018,우울증,강원,원주시,여,401.0,2952.0,2137.0
262,2018,우울증,강원,춘천시,남,154.0,1003.0,634.0
263,2018,우울증,강원,춘천시,여,197.0,1618.0,1468.0
264,2018,우울증,강원,태백시,남,0.0,15.0,41.0
265,2018,우울증,강원,태백시,여,0.0,78.0,106.0
266,2018,우울증,강원,삼척시,남,14.0,174.0,150.0
267,2018,우울증,강원,삼척시,여,23.0,303.0,395.0
268,2018,우울증,충북,괴산군,남,0.0,34.0,106.0
269,2018,우울증,충북,괴산군,여,0.0,47.0,199.0
270,2018,우울증,충북,단양군,남,0.0,0.0,11.0
271,2018,우울증,충북,단양군,여,0.0,0.0,11.0
272,2018,우울증,충북,보은군,남,0.0,29.0,98.0
273,2018,우울증,충북,보은군,여,0.0,55.0,183.0
274,2018,우울증,충북,영동군,남,0.0,83.0,161.0
275,2018,우울증,충북,영동군,여,0.0,144.0,371.0
276,2018,우울증,충북,옥천군,남,0.0,60.0,118.0
277,2018,우울증,충북,옥천군,여,0.0,121.0,195.0
278,2018,우울증,충북,음성군,남,0.0,160.0,127.0
279,2018,우울증,충북,음성군,여,0.0,150.0,191.0
280,2018,우울증,충북,진천군,남,11.0,231.0,181.0
281,2018,우울증,충북,진천군,여,33.0,394.0,378.0
282,2018,우울증,충북,증평군,남,0.0,30.0,61.0
283,2018,우울증,충북,증평군,여,0.0,71.0,124.0
284,2018,우울증,충북,청주상당구,남,98.0,1082.0,939.0
285,2018,우울증,충북,청주상당구,여,159.0,1891.0,2196.0
286,2018,우울증,충북,청주흥덕구,남,87.0,687.0,305.0
287,2018,우울증,충북,청주흥덕구,여,117.0,1200.0,837.0
288,2018,우울증,충북,청주청원구,남,63.0,642.0,271.0
289,2018,우울증,충북,청주청원구,여,130.0,1161.0,676.0
290,2018,우울증,충북,청주서원구,남,108.0,959.0,374.0
291,2018,우울증,충북,청주서원구,여,125.0,1433.0,902.0
292,2018,우울증,충북,충주시,남,56.0,625.0,404.0
293,2018,우울증,충북,충주시,여,124.0,1068.0,840.0
294,2018,우울증,충북,제천시,남,45.0,587.0,605.0
295,2018,우울증,충북,제천시,여,75.0,995.0,1083.0
