행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,,,,,,,,,,sum_60,sum_0_20,sum_20_60,oldAgePercent,childAgePercent,adultAgePercent
의정부시 ,464213,464213,30270,40369,59680,60343,71137,82385,67316,33275,17101,2263,74,228163,228163,15664,20658,30004,30993,36201,40306,32560,14746,6460,559,12,236050,236050,14606,19711,29676,29350,34936,42079,34756,18529,10641,1704,62,,,,,,,,,,120029,70639,273545,25.856449517786018,15.216937052603008,58.926613429610974
안양시 ,544660,544660,35412,48471,68147,78448,82828,95037,81458,35598,16541,2664,56,268911,268911,18001,25035,35284,40495,41262,45970,39486,16693,6064,613,8,275749,275749,17411,23436,32863,37953,41566,49067,41972,18905,10477,2051,48,,,,,,,,,,136317,83883,324460,25.02790731832703,15.400984100172584,59.57110858150039
안양시 만안구 ,230664,230664,13243,16611,29339,32527,32303,40752,38331,18024,8297,1210,27,115122,115122,6628,8645,15276,17209,16851,19937,18711,8485,3098,282,0,115542,115542,6615,7966,14063,15318,15452,20815,19620,9539,5199,928,27,,,,,,,,,,65889,29854,134921,28.56492560607637,12.942635174973121,58.49243921895051
안양시 동안구 ,313996,313996,22169,31860,38808,45921,50525,54285,43127,17574,8244,1454,29,153789,153789,11373,16390,20008,23286,24411,26033,20775,8208,2966,331,8,160207,160207,10796,15470,18800,22635,26114,28252,22352,9366,5278,1123,21,,,,,,,,,,70428,54029,189539,22.429585090255927,17.20690709435789,60.363507815386185
부천시 ,779968,779968,45444,64437,98528,106793,118285,139754,127004,52652,23371,3592,108,385531,385531,23294,32975,50546,55192,59950,67807,61797,24871,8294,791,14,394437,394437,22150,31462,47982,51601,58335,71947,65207,27781,15077,2801,94,,,,,,,,,,206727,109881,463360,26.504548904570445,14.08788565684746,59.4075654385821
광명시 ,280197,280197,18632,28172,33150,36706,46273,48513,40077,18794,8598,1237,45,137512,137512,9484,14390,17107,18821,22679,24012,19093,8592,3056,268,10,142685,142685,9148,13782,16043,17885,23594,24501,20984,10202,5542,969,35,,,,,,,,,,68751,46804,164642,24.53666527478881,16.70396185540887,58.75937286980232
평택시 ,591022,591022,48443,56196,76968,92619,100863,98139,68170,30700,16572,2291,61,310473,310473,24598,28704,43373,52172,54583,51792,34848,13834,5999,557,13,280549,280549,23845,27492,33595,40447,46280,46347,33322,16866,10573,1734,48,,,,,,,,,,117794,104639,368589,19.9305609605057,17.704755491335348,62.36468354815895
동두천시 ,88626,88626,4521,7788,9650,8855,12232,16052,14931,8610,5277,693,17,44198,44198,2358,3900,5206,4724,6283,8420,7506,3691,1928,180,2,44428,44428,2163,3888,4444,4131,5949,7632,7425,4919,3349,513,15,,,,,,,,,,29528,12309,46789,33.317536614537495,13.888700832712747,52.793762552749754
안산시 ,629308,629308,35228,56041,93690,82516,94048,125407,90169,32683,16780,2663,83,322328,322328,17982,28807,49863,45216,49006,62833,47124,15206,5702,572,17,306980,306980,17246,27234,43827,37300,45042,62574,43045,17477,11078,2091,66,,,,,,,,,,142378,91269,395661,22.624533614700592,14.503073216930343,62.872393168369065
안산시 상록구 ,334867,334867,17826,30111,50843,41705,49602,67794,47802,17889,9718,1521,56,170723,170723,9128,15383,27004,22863,25645,33888,24986,8170,3289,356,11,164144,164144,8698,14728,23839,18842,23957,33906,22816,9719,6429,1165,45,,,,,,,,,,76986,47937,209944,22.990022904615863,14.3152356009998,62.694741494384346
안산시 단원구 ,294441,294441,17402,25930,42847,40811,44446,57613,42367,14794,7062,1142,27,151605,151605,8854,13424,22859,22353,23361,28945,22138,7036,2413,216,6,142836,142836,8548,12506,19988,18458,21085,28668,20229,7758,4649,926,21,,,,,,,,,,65392,43332,185717,22.20886357538522,14.716700459514808,63.07443596509997
고양시 ,1074907,1074907,70336,98947,134406,143591,168583,198739,149416,65239,39350,6149,151,524368,524368,35825,50342,68108,71752,82387,96316,74764,28942,14258,1633,41,550539,550539,34511,48605,66298,71839,86196,102423,74652,36297,25092,4516,110,,,,,,,,,,260305,169283,645319,24.216513614666198,15.7486182525558,60.034868132777994
고양시 덕양구 ,496438,496438,35940,41413,58770,72872,78922,85915,69326,32390,18179,2651,60,244063,244063,18291,21035,29781,36578,39848,42321,34481,14408,6658,645,17,252375,252375,17649,20378,28989,36294,39074,43594,34845,17982,11521,2006,43,,,,,,,,,,122606,77353,296479,24.69714244276224,15.581603342209904,59.72125421502786
고양시 일산동구 ,291597,291597,17060,27372,38797,37031,45369,56352,40944,16531,10278,1813,50,141346,141346,8725,13970,19379,18326,21666,27039,20627,7433,3667,498,16,150251,150251,8335,13402,19418,18705,23703,29313,20317,9098,6611,1315,34,,,,,,,,,,69616,44432,177549,23.874045343402024,15.237468149535147,60.88848650706284
고양시 일산서구 ,286872,286872,17336,30162,36839,33688,44292,56472,39146,16318,10893,1685,41,138959,138959,8809,15337,18948,16848,20873,26956,19656,7101,3933,490,8,147913,147913,8527,14825,17891,16840,23419,29516,19490,9217,6960,1195,33,,,,,,,,,,68083,47498,171291,23.73288435260325,16.557210184333083,59.70990546306366
과천시 ,81000,81000,7995,7890,9503,12022,12474,13229,10600,4448,2385,445,9,39687,39687,4108,4013,4873,5886,6097,6354,5238,2073,920,122,3,41313,41313,3887,3877,4630,6136,6377,6875,5362,2375,1465,323,6,,,,,,,,,,17887,15885,47228,22.082716049382718,19.611111111111114,58.306172839506175
구리시 ,187093,187093,11817,16744,23177,23913,29694,34526,28040,12506,5899,754,23,92559,92559,6058,8671,11768,12191,14939,16798,13977,5706,2243,201,7,94534,94534,5759,8073,11409,11722,14755,17728,14063,6800,3656,553,16,,,,,,,,,,47222,28561,111310,25.239853976364696,15.265670014377877,59.494476009257426
남양주시 ,732265,732265,54337,79299,81665,85052,128329,127403,98255,50512,24017,3269,127,363190,363190,27914,40687,42285,42494,63627,64631,48239,23129,9385,775,24,369075,369075,26423,38612,39380,42558,64702,62772,50016,27383,14632,2494,103,,,,,,,,,,176180,133636,422449,24.059595911316258,18.249677370897146,57.69072671778659
오산시 ,229656,229656,18139,25482,28851,34992,44413,36503,24599,10845,5154,668,10,119722,119722,9233,13097,15779,19395,23834,19141,12288,4883,1924,147,1,109934,109934,8906,12385,13072,15597,20579,17362,12311,5962,3230,521,9,,,,,,,,,,41276,43621,144759,17.972968265579826,18.99406068206361,63.032971052356565
시흥시 ,519715,519715,43910,51516,64220,76407,93191,92668,62438,22604,11021,1689,51,271236,271236,22289,26337,34949,41133,50303,48260,33168,10666,3772,353,6,248479,248479,21621,25179,29271,35274,42888,44408,29270,11938,7249,1336,45,,,,,,,,,,97803,95426,326486,18.818583261980123,18.36121720558383,62.82019953243605
군포시 ,261229,261229,15408,23938,33421,35657,39333,47043,39626,16489,8776,1492,46,129573,129573,7927,12357,17471,18894,19488,22974,19209,7640,3217,385,11,131656,131656,7481,11581,15950,16763,19845,24069,20417,8849,5559,1107,35,,,,,,,,,,66429,39346,155454,25.42941250779967,15.061880572218245,59.50870691998208
의왕시 ,158870,158870,11620,13402,19759,22979,22715,27898,24751,10072,4803,844,27,78829,78829,6023,6881,10373,11795,11482,13311,12091,4885,1792,192,4,80041,80041,5597,6521,9386,11184,11233,14587,12660,5187,3011,652,23,,,,,,,,,,40497,25022,93351,25.490652734940518,15.749984263863537,58.75936300119594
하남시 ,329861,329861,30685,31773,35977,51573,61110,48250,41700,20089,7495,1166,43,164202,164202,15744,16025,17889,25533,31390,24445,20080,9906,2948,236,6,165659,165659,14941,15748,18088,26040,29720,23805,21620,10183,4547,930,37,,,,,,,,,,70493,62458,196910,21.370516672174038,18.934642167458414,59.69484116036755
용인시 ,1075566,1075566,81223,120355,132631,133020,190127,183137,123235,70868,35730,5102,138,533387,533387,41477,61540,69357,66991,93478,91912,60368,31526,15262,1446,30,542179,542179,39746,58815,63274,66029,96649,91225,62867,39342,20468,3656,108,,,,,,,,,,235073,201578,638915,21.855748508227297,18.741574203721576,59.40267728805113
용인시 처인구 ,261488,261488,17293,24728,32807,32165,42678,45901,37545,18145,8809,1384,33,134289,134289,8866,12801,17984,17462,22364,23635,19039,8516,3297,321,4,127199,127199,8427,11927,14823,14703,20314,22266,18506,9629,5512,1063,29,,,,,,,,,,65916,42021,153551,25.20804013950927,16.069953496909992,58.72200636358074
용인시 기흥구 ,436656,436656,32651,50015,55201,52410,77672,75559,47834,28453,14669,2122,70,215218,215218,16723,25548,28793,26320,37734,37649,23052,12423,6325,634,17,221438,221438,15928,24467,26408,26090,39938,37910,24782,16030,8344,1488,53,,,,,,,,,,93148,82666,260842,21.332124143490528,18.931607489648602,59.73626836686087
용인시 수지구 ,377422,377422,31279,45612,44623,48445,69777,61677,37856,24270,12252,1596,35,183880,183880,15888,23191,22580,23209,33380,30628,18277,10587,5640,491,9,193542,193542,15391,22421,22043,25236,36397,31049,19579,13683,6612,1105,26,,,,,,,,,,76009,76891,224522,20.138995607039337,20.3726862768996,59.488318116061066
파주시 ,497753,497753,40067,51856,56512,69216,84109,82770,61802,31019,17725,2606,71,252159,252159,20516,26318,30671,36066,43298,42926,31116,13957,6615,658,18,245594,245594,19551,25538,25841,33150,40811,39844,30686,17062,11110,1948,53,,,,,,,,,,113223,91923,292607,22.746824228080996,18.467593364580427,58.78558240733858
이천시 ,222098,222098,15505,21877,28876,30294,34510,36450,31178,14526,7729,1123,30,115622,115622,8015,11262,16521,16675,18041,18964,16040,6921,2876,299,8,106476,106476,7490,10615,12355,13619,16469,17486,15138,7605,4853,824,22,,,,,,,,,,54586,37382,130130,24.57743878828265,16.831308701564176,58.59125251015318
안성시 ,189034,189034,11213,17415,22134,21541,29265,32821,29709,15166,8422,1311,37,97738,97738,5813,9024,12195,11962,15677,17419,15118,7202,3020,303,5,91296,91296,5400,8391,9939,9579,13588,15402,14591,7964,5402,1008,32,,,,,,,,,,54645,28628,105761,28.907498122030955,15.144365563866819,55.94813631410223
김포시 ,486172,486172,45831,53091,49355,66699,94373,72951,58601,29836,13436,1945,54,242801,242801,23523,26948,25404,32744,48303,37274,28866,13984,5279,460,16,243371,243371,22308,26143,23951,33955,46070,35677,29735,15852,8157,1485,38,,,,,,,,,,103872,98922,283378,21.36527813201912,20.347119949318348,58.28760191866253
화성시 ,944342,944342,95153,110022,110981,155558,183476,138446,91282,38675,17892,2777,80,490518,490518,48649,55946,60088,82233,96641,74052,47177,18443,6678,597,14,453824,453824,46504,54076,50893,73325,86835,64394,44105,20232,11214,2180,66,,,,,,,,,,150706,205175,588461,15.95883694678411,21.726768480063367,62.31439457315252
광주시 ,391377,391377,29868,35005,41450,52357,68498,68090,57445,26102,11014,1491,57,199601,199601,15318,17883,22049,27357,36057,34842,28667,12685,4403,327,13,191776,191776,14550,17122,19401,25000,32441,33248,28778,13417,6611,1164,44,,,,,,,,,,96109,64873,230395,24.55662954133738,16.575578023235906,58.867792435426715
양주시 ,268026,268026,21638,26848,29681,34043,43977,45437,36854,18725,9410,1359,54,135376,135376,11013,13648,15761,17589,22551,23539,18569,8766,3612,312,16,132650,132650,10625,13200,13920,16454,21426,21898,18285,9959,5798,1047,38,,,,,,,,,,66402,48486,153138,24.77446217904233,18.09003604127958,57.13550177967809
포천시 ,143323,143323,6646,10499,16074,13767,17319,27974,29240,13085,7552,1129,38,75837,75837,3464,5514,9147,7796,9329,15234,15963,6401,2709,269,11,67486,67486,3182,4985,6927,5971,7990,12740,13277,6684,4843,860,27,,,,,,,,,,51044,17145,75134,35.61466059181011,11.962490319069515,52.42284908912038
여주시 ,114412,114412,6231,9285,11209,11324,15462,20384,21741,11477,6272,994,33,58177,58177,3186,4866,6086,6069,7901,10657,11131,5629,2422,226,4,56235,56235,3045,4419,5123,5255,7561,9727,10610,5848,3850,768,29,,,,,,,,,,40517,15516,58379,35.41324336608048,13.561514526448274,51.02524210747125
연천군 ,41584,41584,2071,2832,4498,3976,4342,6579,8632,4942,3240,459,13,21776,21776,1054,1474,2849,2345,2338,3557,4525,2343,1157,130,4,19808,19808,1017,1358,1649,1631,2004,3022,4107,2599,2083,329,9,,,,,,,,,,17286,4903,19395,41.568872643324354,11.790592535590612,46.64053482108503
가평군 ,62302,62302,2763,4349,5700,5437,7459,10845,13605,7427,4091,607,19,32137,32137,1409,2213,3292,3006,3971,5778,7043,3634,1616,169,6,30165,30165,1354,2136,2408,2431,3488,5067,6562,3793,2475,438,13,,,,,,,,,,25749,7112,29441,41.32933132162692,11.415363872748868,47.25530480562421
양평군 ,125238,125238,6482,9996,9822,10549,16122,21442,26918,15047,7635,1194,31,62801,62801,3328,5232,5410,5474,8075,10890,13514,7494,3103,277,4,62437,62437,3154,4764,4412,5075,8047,10552,13404,7553,4532,917,27,,,,,,,,,,50825,16478,57935,40.582730481163864,13.157348408629968,46.259921110206164
