행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,oldAgePercent,childAgePercent,adultAgePercent
영월군 ,37332.0,37332.0,1420.0,2576.0,2799.0,2368.0,4034.0,6788.0,8875.0,5008.0,3034.0,420.0,10.0,46.46683810136077,10.703953712632591,42.829208186006646
평창군 ,40659.0,40659.0,1413.0,2623.0,3034.0,2690.0,4496.0,7609.0,10046.0,5322.0,2999.0,410.0,17.0,46.22346835878895,9.92646154602917,43.85007009518189
정선군 ,34202.0,34202.0,1315.0,2239.0,2291.0,2316.0,4174.0,6336.0,8139.0,4449.0,2575.0,350.0,18.0,45.40962516811882,10.39120519267879,44.19916963920238
철원군 ,41448.0,41448.0,2659.0,3283.0,4532.0,4259.0,4890.0,6617.0,7708.0,4369.0,2749.0,368.0,14.0,36.691758347809305,14.336035514379464,48.972206137811234
화천군 ,23007.0,23007.0,1459.0,1618.0,2928.0,2595.0,2347.0,3616.0,4339.0,2191.0,1677.0,223.0,14.0,36.70187334289564,13.374190463771896,49.92393619333247
양구군 ,21056.0,21056.0,1454.0,1845.0,2412.0,2325.0,2380.0,3224.0,3970.0,1903.0,1340.0,198.0,5.0,35.22036474164133,15.667743161094224,49.11189209726444
인제군 ,32020.0,32020.0,2289.0,2287.0,3888.0,3898.0,3906.0,4846.0,6119.0,2770.0,1735.0,271.0,11.0,34.05996252342286,14.291068082448469,51.64896939412868
고성군 ,27305.0,27305.0,1272.0,1593.0,2518.0,2373.0,2939.0,4648.0,5988.0,3451.0,2194.0,316.0,13.0,43.80882622230361,10.492583775865226,45.69859000183117
양양군 ,27710.0,27710.0,1069.0,1694.0,2102.0,2079.0,3346.0,4861.0,6180.0,3755.0,2262.0,348.0,14.0,45.3229880909419,9.971129556116926,44.70588235294118
경상남도  ,3251158.0,3251158.0,211999.0,315947.0,322711.0,350135.0,505303.0,582857.0,529417.0,269057.0,141937.0,21352.0,443.0,29.595793252742563,16.238706331713193,54.16550041554424
창원시 ,1009038.0,1009038.0,67055.0,96798.0,110725.0,121305.0,159944.0,181804.0,161935.0,73980.0,31153.0,4263.0,76.0,26.897599495757348,16.238536110632108,56.86386439361056
창원시 의창구 ,213342.0,213342.0,14605.0,19255.0,24403.0,26290.0,32575.0,40208.0,35117.0,14209.0,5854.0,814.0,12.0,26.251746022817823,15.871230231271854,57.87702374591033
창원시 성산구 ,245259.0,245259.0,16214.0,24345.0,31963.0,34285.0,37647.0,49261.0,36233.0,10679.0,3950.0,669.0,13.0,21.0161502737922,16.537211682343973,62.44663804386384
