진료년도,상별구분,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,우울증,서울,동작구,여,70~79세,929,5879,434645400
2018,우울증,서울,동작구,여,80~89세,406,2057,152460030
2018,우울증,서울,동작구,여,90~99세,34,217,16607330
2018,우울증,서울,동작구,여,100세 이상,0,0,0
2018,우울증,서울,마포구,남,0~9세,0,0,0
2018,우울증,서울,마포구,남,10~19세,225,1722,91040260
2018,우울증,서울,마포구,남,20~29세,929,6906,334224010
2018,우울증,서울,마포구,남,30~39세,807,5461,260954480
2018,우울증,서울,마포구,남,40~49세,613,4628,225995930
2018,우울증,서울,마포구,남,50~59세,407,2986,130304730
2018,우울증,서울,마포구,남,60~69세,234,1447,60557900
2018,우울증,서울,마포구,남,70~79세,224,1656,58293510
2018,우울증,서울,마포구,남,80~89세,70,482,16057880
2018,우울증,서울,마포구,남,90~99세,0,0,0
2018,우울증,서울,마포구,남,100세 이상,0,0,0
2018,우울증,서울,마포구,여,0~9세,0,0,0
2018,우울증,서울,마포구,여,10~19세,511,4249,212974580
2018,우울증,서울,마포구,여,20~29세,2642,21959,998141260
2018,우울증,서울,마포구,여,30~39세,1494,12283,581498180
2018,우울증,서울,마포구,여,40~49세,919,7770,370413710
2018,우울증,서울,마포구,여,50~59세,740,5481,232811920
2018,우울증,서울,마포구,여,60~69세,618,5065,199370280
2018,우울증,서울,마포구,여,70~79세,543,4074,156354630
2018,우울증,서울,마포구,여,80~89세,224,1398,48645050
2018,우울증,서울,마포구,여,90~99세,17,108,4005240
2018,우울증,서울,마포구,여,100세 이상,0,0,0
2018,우울증,서울,서대문구,남,0~9세,0,0,0
2018,우울증,서울,서대문구,남,10~19세,144,926,103753370
2018,우울증,서울,서대문구,남,20~29세,555,4358,276543070
2018,우울증,서울,서대문구,남,30~39세,336,2316,96470840
2018,우울증,서울,서대문구,남,40~49세,293,2144,88813460
2018,우울증,서울,서대문구,남,50~59세,276,1715,77123150
2018,우울증,서울,서대문구,남,60~69세,356,2006,109727250
2018,우울증,서울,서대문구,남,70~79세,333,1823,83033520
2018,우울증,서울,서대문구,남,80~89세,154,908,49016070
2018,우울증,서울,서대문구,남,90~99세,11,47,3425870
2018,우울증,서울,서대문구,남,100세 이상,0,0,0
2018,우울증,서울,서대문구,여,0~9세,0,0,0
2018,우울증,서울,서대문구,여,10~19세,236,2228,287458530
2018,우울증,서울,서대문구,여,20~29세,730,5836,381950340
2018,우울증,서울,서대문구,여,30~39세,506,3964,197417300
2018,우울증,서울,서대문구,여,40~49세,584,5124,254610260
2018,우울증,서울,서대문구,여,50~59세,821,5474,268361990
2018,우울증,서울,서대문구,여,60~69세,994,6891,368384240
2018,우울증,서울,서대문구,여,70~79세,939,5594,306133950
2018,우울증,서울,서대문구,여,80~89세,349,2206,110124150
2018,우울증,서울,서대문구,여,90~99세,36,204,11542330
2018,우울증,서울,서대문구,여,100세 이상,0,0,0
2018,우울증,서울,성동구,남,0~9세,0,0,0
